Headline,Body ID,Stance
Who Should Play Steve Jobs Now That Christian Bale Quit?,1658,unrelated
"Vice Media CEO Shane Smith Spent $300,000 on Las Vegas Dinner (Report)",500,unrelated
NYC High School Student Nicknamed ‘Teen Wolf’ Made $72 Million On Stock Market,1205,unrelated
Audio recording allegedly captures at least 10 shots fired in Michael Brown killing,1776,discuss
Shocking picture shows mother trying to sell her own son to pay for twin daughter's cancer treatment,694,unrelated
North Korea dictator Kim Jong-un 'set to open a new restaurant in SCOTLAND',1336,unrelated
Obama: murder of James Foley 'shocks the conscience of the entire world',2109,unrelated
Christian Bale Won't Play Steve Jobs After All,286,unrelated
"Meteorite Strikes Nicaraguan Capital, Creates 16-Foot-Deep Crater",1594,disagree
"Sons of Anarchy Movie? No, Kurt Sutter Announces Charlie Hunnam, Brad Pitt Film Article is Fake",1634,unrelated
Israeli-Canadian Woman 'Captured' By ISIS Says She Is 'Safe And Secure',474,discuss
"Apple Watch to Be Shower-Proof, Have 100,000 Apps at Launch: Reports",1975,unrelated
Nigeria Says Boko Haram Cease-Fire May Lead to Release of Kidnapped Girls,2314,unrelated
'They ate through the ceilings and pooped on the keyboards': Rats are 'taking over' Vogue's new World Trade Center office and Anna Wintour 'no longer wants to work there',381,unrelated
Alleged Ottawa gunman: What we know so far about Michael Zehaf-Bibeau,1011,unrelated
Amazon plans ad-supported video streaming service - NY post,1971,unrelated
Scientists Doubt That Meteor Caused Crater In Nicaragua,1795,unrelated
Nun complains of stomach pains... and GIVES BIRTH: Sister who had 'no idea' she was pregnant has a baby boy at hospital in Italy,1164,agree
Microsoft turns to robotic security guards to watch for trouble,1074,unrelated
Breaking: Soldier shot at National War Memorial in Ottawa,633,unrelated
"James Foley: American Journalist, James Wright Foley Beheaded in New ISIS Video [Breaking News]",1549,unrelated
IS militant 'Jihadi John' named as Mohammed Emwazi from London,2165,discuss
What This Homeless Guy Did With $100 Completely Stunned The Man Who Gave It To Him,344,disagree
Macaulay Culkin Dead?,1012,unrelated
"Iraq claims ISIS leader al-Baghdadi’s wife has NOT been arrested, despite Lebanon insisting woman detained at border told them she was Islamist extremist’s spouse",2360,unrelated
New Audio Recording From Ferguson May Capture Michael Brown Shooting,1289,unrelated
Nigeria says ceasefire agreed with Boko Haram,1139,discuss
Missing Libyan jetliners raise fears of terror attacks on 9/11,2010,discuss
South Korea: Kim Jong Un had ankle surgery to remove cyst,1097,unrelated
'Sex attacker' has penis cut off with a cleaver in India,1959,agree
Report: Christian Bale Drops Out Of Steve Jobs Biopic,2455,discuss
There has been a shooting at the War Memorial on Parliament Hill. Unconfirmed reports say a soldier was shot.,1539,agree
"Apple Watch to Be Shower-Proof, Have 100,000 Apps at Launch: Reports",2421,discuss
Passenger Wears A Hazmat Suit To Dulles Airport [PHOTO],490,agree
WHO investigates media reports ISIS fighters contracted Ebola,1615,discuss
"James Wright Foley, Kidnapped Journalist, Apparently Executed by ISIS",874,unrelated
Meteor Leaves 40-Foot Crater Near Managua's Airport,2118,unrelated
"Macaulay Culkin NOT Dead: Facebook, Twitter Death Hoax Goes Viral",1737,unrelated
"James Foley, Missing American Photojournalist, Reportedly Executed By ISIS In Syria",2109,unrelated
Schoolboy almost killed by electric shock claims he now has superpowers like Magneto,2130,unrelated
Boko Haram denies ceasefire claim by Nigeria's government,298,unrelated
Tourist wakes to find strange red trail on his stomach - and discovers a spider has burrowed through his appendix scar and crawled UNDER his skin while on holiday in Bali,1888,unrelated
Fears journalist James Wright Foley beheaded by Islamic State jihadists in ‘message’ to United States,1786,unrelated
Someone Trolled Twitter Into Thinking Macklemore Joined ISIS,239,unrelated
"Fidel Castro Is Dead, According to Viral Twitter Rumors",93,unrelated
The Man Who Says Comcast Got Him Fired Has Filed a Lawsuit,2434,discuss
"Boko Haram Cease-Fire: Abducted Nigerian Schoolgirls To Be Released, Officials Say",1734,unrelated
Report: Israeli-Canadian woman fighting Islamic State has been kidnapped by terror group,1266,unrelated
N Korean leader misses annual ritual; sister ‘takes over duties’,1029,unrelated
Kurds Deny Gill Rosenberg was in Kobane,2067,unrelated
Mexico finds 4 more graves at site of suspected student massacre,251,unrelated
"Lady on FB: I'm 41, Intersex, and Fucked Michael Phelps on First Date",1852,unrelated
Has Ebola infected Isis militants in Mosul?,761,unrelated
Now the Vogue Rats Are Chewing Through Couture,387,unrelated
The Arrest of the ISIS Leader's Wife and Son,1468,disagree
ISIS Extremists Claim to Behead British Hostage David Haines,1155,unrelated
"Boko Haram agrees to ceasefire, release of school girls",1661,unrelated
Nigeria Boko Haram blamed for raids despite truce claim,1761,unrelated
WATCH: Bird Launches Airstrike on Putin’s Shoulder (UPDATED),1338,unrelated
The Chinese Guide to Avoiding a Bad English Name,1954,unrelated
Alleged Audio of Michael Brown Shooting Doesn’t Sound Good for Officer Darren Wilson,450,unrelated
Duped again: Macaulay Culkin is not dead,722,unrelated
ISIS Appears To Behead American Photojournalist In YouTube Video,139,unrelated
YPG Confirms: Gill Rosenberg Not Captured in Kobani,1459,unrelated
Is Ebola Virus Spreading Among ISIS Militants? Reports Claim Jihadists Seeking Cure at Mosul Hospital,1948,unrelated
MPs credit sergeant-at-arms for saving lives in Parliament Hill shootings,139,unrelated
Video shows ISIL beheading of photojournalist James Foley,2388,discuss
"Report: Apple Watch to start at $500 in stainless steel, thousands for gold model",2409,unrelated
"Oh Hey, Paul Rudd Was One Of The Dallas Airport Homophobe Heroes, No Big",2514,disagree
Amazon to Open First Brick-and-Mortar Site,2448,discuss
Tim Cook Reportedly Reveals Apple Watch Waterproofing Has Improved,2175,unrelated
Is Kim Jong-Un Really Opening a Restaurant in Scotland?,773,unrelated
Kim Jong-un relying on ‘cobra wine’ after problems with trouser snake,2404,unrelated
Seven girls fall pregnant after five day school trip in Bosnia and Herzegovina,1981,unrelated
Rumor: Seth Rogen to Appear as Woz in Sony's Steve Jobs Film,1575,discuss
Matt Taibbi takes a leave of absence from First Look Media,1761,unrelated
Resetting iOS 8 Preferences May Wipe iCloud Files,347,unrelated
Rumors of ISIS leader's death debunked,2034,unrelated
ISIS militants appear to behead abducted American journalist James Wright Foley in graphic video,1948,discuss
Detroit Police Issue Statement That The Batmobile Is Safe,1790,unrelated
Missing Mexico students not among 28 bodies found in mass grave,1156,discuss
Seth Rogen to Play Apple’s Steve Wozniak,403,unrelated
WATCH: Twitter catches fire amid rumors of Fidel Castro’s death,1010,unrelated
Insurgents killed in Nigeria despite alleged truce with Boko Haram,459,unrelated
Pentagon Denies It Killed ISIS Chief As Airstrikes Hit Top Extremists,1883,unrelated
[UPDATED] 11 Men and 0 Women on Tonight's ESPN Domestic Violence Panel,1195,unrelated
ISIS Extremists Claim to Behead British Hostage David Haines,1477,unrelated
Sugarhill Gang's Big Bank Hank Dead At 57,1831,agree
Apple Watch won’t be the digital doctor it could have been,1707,agree
"Wife, child of Islamic State head Abu Bakr al-Baghdadi held in Lebanon, officials say",170,unrelated
Indian worker sacked after going on leave for 24 years,217,unrelated
Report: Possible audio tape of Michael Brown shooting,2481,discuss
Did Kim Yo-Jong Take Kim Jong Un’s Role? North Korea Ill Health Rumors Are ‘Fabricated’,780,discuss
Amazon plans a streaming-video alternative,2498,unrelated
Spider Burrows Into Australian Man's Appendix Scar (VIDEO),1408,unrelated
Soldier shot at War Memorial; multiple shots fired in Parliament,2269,unrelated
North Korea denies reports Kim Jong-un is to open state-backed restaurant in Scotland,2296,agree
Holy Theft! Batmobile Stolen from 'Batman v Superman'???,1242,disagree
"Prankster Gives Homeless Man $100, Secretly Follows Him And Learns He Buys Food For Others",2305,disagree
Nigeria says it has deal with Boko Haram to release kidnapped girls,2096,discuss
ISIL allegedly kills US journalist in video,984,unrelated
WHO ‘probing’ whether ISIS fighters got Ebola,2177,unrelated
"Former Porn Star Behind YouTube Sensation ‘DC Toy Collector,’ Makes $5 Million Per Year Unboxing Disney Toys",298,unrelated
SEND IN THE DRONES: Predator drones flown over IS headquarters in Syria,2097,unrelated
Michael Zehaf-Bibeau ID’d as Canadian Shooting Suspect in Ottawa,2087,unrelated
Man Chops Off and Throws Away His Small Penis After Bad Breakup,1400,unrelated
'Hairgate': iPhone hit by new social media storm,403,unrelated
A Predator Drone Has Reportedly Been Spotted Circling Above ISIS's Capital City,40,discuss
Everyone chill! Banksy has NOT been arrested,1269,unrelated
HORROR: ISIS Fighters Have Reportedly Contracted Ebola,720,discuss
Future Apple Watches could include platinum models - report,887,unrelated
Insurgents killed in Nigeria despite alleged truce with Boko Haram,1385,unrelated
"In Vogue vs Rats War, the Rats Are Winning",1693,unrelated
Fears Islamic State could launch EBOLA attack on Britain after fighters 'contract virus',1175,unrelated
J.J. Abrams Asks Disney To Move Up 'Star Wars: The Force Awakens' Release Date,1686,unrelated
Mum faces real-life Sophie's Choice – as she tries to sell her son to fund daughter's care,1547,unrelated
ISIS Border Crisis: DHS Chief Says Terrorists Not Entering US Through Mexico,2458,unrelated
An Audio Recording of the Michael Brown Shooting Has Reportedly Surfaced,2434,discuss
Axl Rose Dead? Of Course Not — Tiresome Internet Death Hoax Plague Hits Guns N’ Roses Frontman,43,unrelated
'They ate through the ceilings and pooped on the keyboards': Rats are 'taking over' Vogue's new World Trade Center office and Anna Wintour 'no longer wants to work there',800,unrelated
ISIL Beheads American Photojournalist in Iraq,1627,unrelated
US confirms death of Somalia terror group leader,1921,unrelated
Lebanon 'holding IS leader's daughter and ex-wife',703,disagree
Large space object slams Nicaragua’s capital as asteroid passes Earth,1722,discuss
Amazon Is Opening a Brick-and-Mortar Store in Manhattan,2116,discuss
KFC Gets Occupational Business License To Sell Marijuana In Colorado Restaurants KFC Gets Occupational Business License To Sell Marijuana In Colorado Restaurants,2477,unrelated
"Viral Video Of Homeless Man Spending $100 On Food For Other Homeless Was Faked, Witness Says",1024,unrelated
"ISIS beheads American photo-journalist James Wright Foley, threatens more to come",1206,discuss
Boko Haram denies ceasefire claim by Nigeria's government,2088,unrelated
Big Bank Hank dead: Sugarhill Gang member and rapper dies aged 57,105,unrelated
Michael Phelps' girlfriend was born male but did not tell swimmer about her past,1849,unrelated
"North Korean leader Kim Jong-un not missing, just having ankle surgery",186,unrelated
Man Severed Penis That Failed To Impress Girls,831,unrelated
Did a Meteorite Impact in Nicaragua over the Weekend?,1179,discuss
Kim Jong-Un's Sister Takes Control in North Korea,1588,unrelated
CNN Plays Alleged Audiotape of Michael Brown ShootingMilitarization Of Police,2248,unrelated
LOL: RICH JOHNSTON SAYS THE BATMOBILE HAS BEEN STOLEN IN DETROIT,1789,unrelated
"Sick Kansas City man said not to have Ebola, U.S. plans new steps to fight virus",539,unrelated
Does Vogue's New Office Have a Rat Infestation?,964,unrelated
Mexico Student Massacre Update: More Graves Discovered At Murder Site,2188,unrelated
Islamic State using 'SCORPION bombs' to terrorise victims,1347,unrelated
Has North Korean dictator Kim Jong-un been replaced by his sister?,121,unrelated
Video: Marine saved by helmet after Taliban sniper attack,1724,unrelated
REPORT: Alleged New Audio of Michael Brown Shooting,900,unrelated
Homeland Security: No ISIL fighters on U.S. border,666,discuss
"In Kim Jong Un's absence, his sister may rule. Or not.",271,unrelated
WFB’s Bill Gertz: Obama Administration ‘Trying to Play Down’ Missing Libyan Airliners,2448,discuss
Amazon's first brick-and-mortar store said to open in Manhattan,1369,unrelated
Norfolk Man Pays £300 For His Constipated Goldfish To Have Lifesaving Surgery,2044,unrelated
Urgent: The Leader of ISIL 'Abu Bakr al-Baghdadi' Killed! / Photo,1522,discuss
Report: Christian Bale Will Play Steve Jobs,1846,disagree
"Israel opens dams, floods Gaza",195,unrelated
"Boko Haram agrees to ceasefire, release of school girls",520,discuss
"Meteorite Strikes Nicaraguan Capital, Creates 16-Foot-Deep Crater",2129,unrelated
Canadian Soldier Shot At Ottawa War Memorial: Report,345,unrelated
GOP Rep. Duncan Hunter Claims 'At Least' 10 ISIS Fighters Apprehended On Texas Border,130,unrelated
"‘Teletubbies’ Sun Baby: Fans Freak Out Over Jess Smith, 19",2076,agree
Best Christmas present ever? Heartwarming moment app developer reveals to his parents he had paid off their mortgage,1646,unrelated
Snowmen Declared Anti-Islamic As Snow Falls in Saudi Arabia,2456,agree
"James Foley, Missing American Photojournalist, Reportedly Executed By ISIS In Syria",115,unrelated
Bodies In Mexico Mass Grave Apparently Not Those Of Missing Students,695,unrelated
Saudi cleric condemns snowmen as anti-Islamic,25,agree
eBay working on bidding app for Apple Watch,1397,discuss
The baby from Teletubbies reveals herself,504,unrelated
"Tropical spider burrows under man's skin, lives there for three days",2297,unrelated
The Story Of The High School Trader Who Made $72 Million Is A Rumor Spun Out Of Control,1167,disagree
Wife Of ISIS Leader Abu Bakr al-Baghdadi Detained In Lebanon,509,discuss
ISIL allegedly kills US journalist in video,1166,discuss
This Selfless Homeless Man Receives $100 & Doesn't Spend A Dime On Himself!,1934,unrelated
"Jeh Johnson: Politicians Shouldn't 'Feed The Flames Of Fear' Over ISIS, Ebola",2458,unrelated
What This Homeless Guy Did With $100 Completely Stunned The Man Who Gave It To Him,643,unrelated
ISIS Claims To Have Captured US Airdrop Weapons,168,unrelated
Mexico checks if 43 missing students in mass grave,2360,unrelated
Jihadi John identity revealed as Mohammed Emwazi: live,1489,discuss
Islamic Militants Post Video Claiming to Show Beheading of U.S. Journalist,7,unrelated
Was The Batmobile Stolen In Detroit?,734,disagree
'There is no limit to their depravity' Islamic State FEED mother her own SON,93,unrelated
NYPD to stop arrests for small amounts of marijuana,1022,agree
"Vice Media Chief Said to Pay $300,000 for Dinner for 30",737,unrelated
North Korea dictator Kim Jong-un 'set to open a new restaurant in SCOTLAND',1312,unrelated
Obama: murder of James Foley 'shocks the conscience of the entire world',1786,unrelated
Hundreds mourn the 'death' of Fidel Castro after rumours sweep Twitter (but are they confusing him with recently departed Fidel Castro Odinga from Nairobi?),2192,unrelated
"Video Appears to Show Beheading of Journalist James Foley, Who Went Missing in Syria",1009,unrelated
Jordan’s King Abdullah Did Not Personally Fly Airstrikes On ISIS,17,unrelated
7 Bosnian teens get pregnant on school trip,84,unrelated
Expert casts doubt on Bunbury man Dylan Thomas’s burrowing stomach-spider story,1057,disagree
Senior Western Intelligence Official Confirms London Rapper Abdel Majed Abdel Bary Is A Suspect In The Foley Killing,662,unrelated
Mexican students not among bodies found in mass graves,1213,unrelated
"Six months after abducting Nigerian schoolgirls, Boko Haram reportedly wants to free them",1195,discuss
Islamic State claims it executed American photojournalist James Foley,2453,unrelated
ISIS Militants Allegedly Contracted Ebola,2130,unrelated
DNA test confirms child is IS head Abu Bakr al-Baghdadi's daughter,2155,discuss
U.S. Hostage Luke Somers Killed During Yemen Rescue Bid: Family,2318,discuss
Unverified video shows beheading of aid worker David Haines,2306,discuss
The “Flood Libel” Propagandists of 2015,1461,unrelated
Man Severed Penis That Failed To Impress Girls,1400,unrelated
"Is North Korea, world's most secret state, really planning a new restaurant in Scotland?",2314,unrelated
Watch: US Marine saved by helmet after being shot by Taliban sniper,1934,unrelated
Amazon.com to open first physical store in Manhattan: DJ,1817,unrelated
This Is What It Looks Like When A Son Pays Off His Parents’ Mortgage As A Christmas Present,377,unrelated
Islamic Militants Post Video Claiming to Show Beheading of U.S. Journalist,11,unrelated
Unconfirmed reports saying ISIS UK Hostage David Haines Beheaded,2477,unrelated
Fence-jumper ran through much of main floor of White House: report,887,unrelated
"Sadly, Pumpkin Spice Condoms Aren't A Thing After All",40,unrelated
Missing Libyan Jetliners Raise Fears of Suicide Airliner Attacks on 9/11,2317,unrelated
Obama Denounces James Foley's Execution: 'Today The Entire World Is Appalled',1873,unrelated
"Israel opens dams, floods Gaza",2020,unrelated
Josh Paler Lin Gives A Homeless Man $100 And Follows Him To See How He Spends It,676,unrelated
Video Purports To Show Beheading Of U.S. Journalist By Militants,2096,discuss
"Apple Watch Specs Tipped; Said to Feature 512MB RAM, 4GB of Storage",589,discuss
"Planetary Alignment On Jan 4, 2015 Will Decrease Gravity For 5 Minutes Causing Partial Weightlessness",1123,agree
New Audio Allegedly Captures Moment Michael Brown Was Shot,2020,unrelated
FBI Probing Alleged Audio of Michael Brown Shooting,1022,unrelated
"Catholic Priest Dead For 48 Minutes, Is Miraculously Revived – His Revelations About God Are Even More Shocking",1212,unrelated
Parents are furious after seven girls aged 13-14 fall pregnant on a school trip,917,unrelated
Macaulay Culkin Dead? Fans Freak Out Over Death Rumors,2240,unrelated
Nigeria and Boko Haram 'agree ceasefire and girls' release',2463,discuss
"Tee-off in your own putting paradise: Swedish luxury island owned by Tiger Woods up for sale - and it comes with a villa, a hot tub and a lodge",2508,unrelated
Video messaging service verifies timing of CNN audio recording,2317,discuss
Unverified video shows beheading of aid worker David Haines,737,unrelated
Eyewitness Says Viral Video of Homeless Man Was Staged,572,disagree
Anna Wintour: Is Rat Infestation At NYC ‘Vogue’ Office Kim Kardashian’s Fault?,1036,unrelated
Soldier shot near Canadian parliament building,539,unrelated
ISIS Beheads American Journalist James Foley in Video Message to U.S.,1720,unrelated
What TBS’s Sped-Up Seinfeld Reruns Tell Us About the Sorry State of America,399,unrelated
Sugarhill Gang Rapper ‘Big Bank Hank’ Dies at 57,2398,agree
Unlucky in love man chops off own penis,2212,agree
"Fidel Castro Dead? Yes, He Is… But The Cuban Leader Is Alive, Death Rumors Proven False",1439,unrelated
U.S. arms airdrop fell into ISIS hands: Pentagon,693,unrelated
An Audio Recording of the Michael Brown Shooting Has Reportedly Surfaced,1832,unrelated
Saddam Hussein’s pilots training Islamic State group,2408,discuss
Canadian-Israeli Woman Says She Hasn’t Been Captured By ISIS,1223,unrelated
Has The Batman Vs. Superman Batmobile Been Stolen In Detroit?,2519,agree
Kim Jong-Un 'in hospital with two fractured ankles' after ballooning to around 20 stone and going on numerous 'meet the people' walkabout PR stunts,77,unrelated
Mexico Says Missing Students Not Found In First Mass Graves,1148,unrelated
"Six months after abducting Nigerian schoolgirls, Boko Haram reportedly wants to free them",381,unrelated
Ottawa shooting: Slain soldier named as Nathan Cirillo while suspect identified as Michael Zehaf-Bibeau,431,unrelated
"James Foley, Missing American Photojournalist, Reportedly Executed By ISIS In Syria",1589,agree
Report: Taliban Detainee Swapped for Bowe Bergdahl Suspected of Trying to Return to Terrorism,2524,discuss
"Christian Bale passes on role of Steve Jobs, actor reportedly felt he wasn't right for part",2097,unrelated
"No, Pumpkin Spice Condoms Are Not A Real Thing",2123,discuss
Christian Bale to Play Steve Jobs in New Movie,91,unrelated
Vladimir Putin’s Motorcade Looks Like A Massive Knob,504,unrelated
Bunbury local discovered a spider had burrowed under his skin on Bali holiday,2210,agree
ISIS executioner 'Jihadi John' named by media,2470,unrelated
’6 Days Darkness in December 2014′ 100% Fake; NASA Confirmed 3 Days Total Darkness Hoax as Well,1840,unrelated
Man who slaps people around the head for sneezing hunted by police,1637,unrelated
The Internet Tried To Make Axl Rose Its Latest Death Hoax Victim,984,unrelated
Texas plumber's truck on front line of Syria war,565,unrelated
Emotional sergeant-at-arms is greeted back to parliament with a rousing standing ovation a day after he heroically shot dead terrorist - the first time he used weapon in 30 year career,1720,unrelated
Hunt for 'cruel' owner who abandoned dog at train station,54,unrelated
Robert Plant Literally Ripped Up An $800 Million Contract To Reunite Led Zeppelin,2058,unrelated
REPORT: Alleged New Audio of Michael Brown Shooting,472,unrelated
Dog abandoned at Ayr station with belongings in suitcase,1198,unrelated
CNN Airs Alleged Audio from Michael Brown Shooting,132,unrelated
Ebola Outbreak 2015 Update: ISIS Fighters May Have Contracted Deadly Virus,936,discuss
Media outlets identify 'Jihadi John',2125,unrelated
ISIS Beheads American Journalist,2266,unrelated
"Comcast Is Threatening To Cut Off Customers Who Use Tor, The Web Browser For Criminals",1403,disagree
'Feminist' Lana 'Aborts Baby Because It's A Boy' And Is Surprised By Backlash,1040,unrelated
'Electric Boogie' Developer Leaves Secret Resignation Letter To Boss At The End Of The Game (Video),570,unrelated
World's oldest burger,414,unrelated
"'A wonderful, wonderful sound': Man breaks down after hearing voicemail from his late wife that was lost for 14 years",2020,agree
Lynch mob chop man's penis off after catching him allegedly trying to rape teenager,859,unrelated
ISIL Beheads American Photojournalist in Iraq,1093,discuss
Iraq Denies Lebanon Captured Abu Bakr al-Baghdadi's Wife and Child,845,unrelated
Report: 4 ISIS Terrorists Caught at Southern Border in 36 Hrs,2056,unrelated
"Catholic Priest Dead For 48 Minutes, Is Miraculously Revived – His Revelations About God Are Even More Shocking",603,agree
Armed U.S. drones spotted flying over Syria in possible hunt for ISIS leader,933,unrelated
Texas Plumber Isn't Sure How Extremists In Syria Ended Up With His Work Truck,565,unrelated
Audio of gunfire in Michael Brown case authenticated by app company,195,unrelated
Amazon to Open First Brick-and-Mortar Site,666,unrelated
Iraqi media: ISIS militants have contracted Ebola,1461,unrelated
Apple Watch reportedly has low-energy 'power reserve' mode,2124,discuss
Pure Evil: Islamic State Beheads American Journalist James Wright Foley,2524,discuss
"Pizza delivery driver surprised with $2,000 tip",542,unrelated
Judicial Watch's Farrell: ISIS Terrorists Did Cross Mexican Border,2307,unrelated
"Man cuts off manhood, throws it in the bin, after girlfriend leaves over small penis",1400,unrelated
YPG Confirms: Gill Rosenberg Not Captured in Kobani,1224,unrelated
"Vice Media CEO Shane Smith Spent $300,000 on Las Vegas Dinner (Report)",1077,discuss
Pentagon Denies It Killed ISIS Chief As Airstrikes Hit Top Extremists,2036,unrelated
#ISIS beheads photojournalist James Wright Foley in a massage to US to end its intervention in #Iraq.,2296,unrelated
Was The Batmobile Stolen In Detroit?,2090,unrelated
‘Star Wars: The Force Awakens’ May Get An Early Release Date—Report,2141,unrelated
ISIS Extremists Claim to Behead British Hostage David Haines,2306,discuss
Government fires employee who skipped work for 24 years,1661,unrelated
"Unconfirmed: ISIS Claims Kayla Mueller, American Female Hostage, Is Dead",2387,discuss
ISIL video claims beheading of kidnapped journalist James Foley,578,discuss
An Audio Recording of the Michael Brown Shooting Has Reportedly Surfaced,1481,unrelated
DHS: GOP Rep.’s Claim ISIS Members Caught at U.S. Border ‘Categorically False’,2344,unrelated
This Letter To Parents From A 1970s Lego Set Contains An Important Message For Gender Equality,917,unrelated
Pentagon: ISIS Got U.S. Weapons Package,1572,unrelated
It’s About To Get Harder To Be Arrested For Pot Possession In New York City,1368,discuss
Mexican students not among bodies found in mass graves,461,discuss
Man Known as ‘Jihadi John’ Is Identified as Mohammed Emwazi,125,discuss
Oscar winner Christian Bale to play Steve Jobs in upcoming biopic,176,unrelated
Photo gallery: Amazing £300 operation by North Walsham vet on constipated goldfish,381,unrelated
Jordanian airstrike killed American aid worker held hostage by ISIS according to statement by militants,1769,unrelated
Soldier shot at War Memorial; multiple shots fired in Parliament,595,unrelated
Islamist terrorists Jabhat Ansar al-Deen tweet picture of Texas plumber’s truck fitted with anti-aircraft gun in Syria,119,agree
The 'cub of Baghdadi': Has this boy become the youngest victim of Isis’s use of child soldiers?,1681,discuss
Hospital: Man not being treated for Ebola in Kansas City,707,unrelated
Bird defecates on Vladimir Putin during speech (video),1028,unrelated
Constipated goldfish operated on by North Walsham vet,1539,unrelated
Willie Nelson Dead? Viral Hoax Fools Internet,1170,unrelated
Nigeria: hopes for return of kidnapped schoolgirls rise after ceasefire reported,40,unrelated
Bergdahl: Senator Says Jihadists Swapped For U.S. Troop ‘In Touch’ With Al-Qaida Affiliate,2254,unrelated
"No, Islamic State Militants Have Not Been Caught by U.S. Border Patrol",1357,unrelated
Second person rushed to hospital with Ebola symptoms after contact with 'patient zero' Thomas Duncan,2354,unrelated
Angry mob cut off rapist’s penis with meat cleaver (VIEWER DISCRETION),36,unrelated
‘Star Wars: The Force Awakens’ May Get An Early Release Date—Report,1047,unrelated
Audio recording allegedly captures at least 10 shots fired in Michael Brown killing,1009,discuss
Dylan Thomas Finds Tropical Spider Burrowed Under Skin,959,unrelated
Vigilantes cut off alleged rapist's penis,2115,unrelated
Continuing Violence Puts Boko Haram Ceasefire In Jeopardy,1195,discuss
Chugging eggnog at office party lands man in hospital,251,unrelated
'They ate through the ceilings and pooped on the keyboards': Rats are 'taking over' Vogue's new World Trade Center office and Anna Wintour 'no longer wants to work there',367,unrelated
"Apple Watch Power Reserve feature will save battery life, report says",78,unrelated
ISIS Reportedly Beheads U.S. Journalist James Wright Foley on Camera,524,unrelated
Here Are Microsoft's New Robot Security Guards,2306,unrelated
"Nigeria Says It Struck A Cease-Fire With Boko Haram, But Are They Talking To The Right Guy?",520,discuss
Two GOP Congressmen Say Suspected Terrorists Caught Crossing U.S.–Mexico Border,2249,agree
